ID,ano,numero_questao,enunciado,alternativas,resposta_correta,prova_cor
155,2018,137,"Um contrato de empréstimo prevê que quando uma parcela é paga de forma antecipada, conceder-se-á uma redução de juros de acordo com o período de antecipação. Nesse caso, paga-se o valor presente, que é o valor, naquele momento, de uma quantia que deveria ser paga em uma data futura. Um valor presente $P$ submetido a juros compostos com taxa $i$, por um período de tempo $n$, produz um valor futuro $V$ determinado pela fórmula$$V = P \cdot (1 + i)^n$$Em um contrato de empréstimo com sessenta parcelas fixas mensais, de R\$ 820,00, a uma taxa de juros de 1,32% ao mês, junto com a trigésima parcela será paga antecipadamente uma outra parcela, desde que o desconto seja superior a 25% do valor da parcela.Utilize $0,2877$ como aproximação para $\ell n\left(\frac{4}{3}\right)$ e $0,0131$ como aproximação para $\ell n(1,0132)$.A primeira das parcelas que poderá ser antecipada junto com a 30ª é a",a) 56ªb) 55ªc) 52ªd) 51ªe) 45ª,C,verde
156,2018,140,"Um artesão possui potes cilíndricos de tinta cujas medidas externas são $4\text{ cm}$ de diâmetro e $6\text{ cm}$ de altura. Ele pretende adquirir caixas organizadoras para armazenar seus potes de tinta, empilhados verticalmente com tampas voltadas para cima, de forma que as caixas possam ser fechadas.No mercado, existem cinco opções de caixas organizadoras, com tampa, em formato de paralelepípedo reto retângulo, vendidas pelo mesmo preço, possuindo as seguintes dimensões internas:\begin{center}\begin{tabular}{|c|c|c|c|}\hlineModelo & Comprimento (cm) & Largura (cm) & Altura (cm) \\ \hlineI & 8 & 8 & 40 \\ \hlineII & 8 & 20 & 14 \\ \hlineIII & 18 & 5 & 35 \\ \hlineIV & 20 & 12 & 12 \\ \hlineV & 24 & 8 & 14 \\ \hline\end{tabular}\end{center}Qual desses modelos o artesão deve adquirir para conseguir armazenar o maior número de potes por caixa?",a) Ib) IIc) IIId) IVe) V,D,verde
157,2018,141,"A prefeitura de um pequeno município do interior decide colocar postes para iluminação ao longo de uma estrada retilínea, que inicia em uma praça central e termina numa fazenda na zona rural. Como a praça já possui iluminação, o primeiro poste será colocado a 80 metros da praça, o segundo, a 100 metros, o terceiro, a 120 metros, e assim sucessivamente, mantendo-se sempre uma distância de vinte metros entre os postes, até que o último poste seja colocado a uma distância de 1.380 metros da praça.Se a prefeitura pode pagar, no máximo, R$ 8.000,00 por poste colocado, o maior valor que poderá gastar com a colocação desses postes é","a) R$ 512.000,00.b) R$ 520.000,00.c) R$ 528.000,00.d) R$ 552.000,00.e) R$ 584.000,00.",C,verde
158,2018,143,"Os tipos de prata normalmente vendidos são 975, 950 e 925. Essa classificação é feita de acordo com a sua pureza. Por exemplo, a prata 975 é a substância constituída de 975 partes de prata pura e 25 partes de cobre em 1.000 partes da substância. Já a prata 950 é constituída de 950 partes de prata pura e 50 de cobre em 1.000; e a prata 925 é constituída de 925 partes de prata pura e 75 partes de cobre em 1.000. Um ourives possui 10 gramas de prata 925 e deseja obter 40 gramas de prata 950 para produção de uma joia.Nessas condições, quantos gramas de prata e de cobre, respectivamente, devem ser fundidos com os 10 gramas de prata 925?","a) 29,25 e 0,75b) 28,75 e 1,25c) 28,50 e 1,50d) 27,75 e 2,25e) 25,00 e 5,00",B,verde
159,2018,146,"Numa atividade de treinamento realizada no Exército de um determinado país, três equipes – Alpha, Beta e Gama – foram designadas a percorrer diferentes caminhos, todos com os mesmos pontos de partida e de chegada.- A equipe Alpha realizou seu percurso em 90 minutos com uma velocidade média de 6,0 km/h.- A equipe Beta também percorreu sua trajetória em 90 minutos, mas sua velocidade média foi de 5,0 km/h- Com uma velocidade média de 6,5 km/h a equipe Gama concluiu seu caminho em 60 minutos.Com base nesses dados, foram comparadas as distâncias dBeta; dAlphae dGamapercorridas pelas três equipes.A ordem das distâncias percorridas pelas equipes Alpha, Beta e Gama é",a) dGama< dBeta< dAlphab) dAlpha= dBeta< dGamac) dGama< dBeta= dAlphad) dBeta< dAlpha< dGamae) dGama< dAlpha< dBeta,A,verde
160,2018,148,"Uma empresa deseja iniciar uma campanha publicitária divulgando uma promoção para seus possíveis consumidores. Para esse tipo de campanha, os meios mais viáveis são a distribuição de panfletos na rua e anúncios na rádio local. Considera-se que a população alcançada pela distribuição de panfletos seja igual à quantidade de panfletos distribuídos, enquanto que a alcançada por um anúncio na rádio seja igual à quantidade de ouvintes desse anúncio. O custo de cada anúncio na rádio é de R$ 120,00, e a estimativa é de que seja ouvido por 1.500 pessoas. Já a produção e a distribuição dos panfletos custam R$ 180,00 cada 1.000 unidades. Considerando que cada pessoa será alcançada por um único desses meios de divulgação, a empresa pretende investir em ambas as mídias.Considere X e Y os valores (em real) gastos em anúncios na rádio e com panfletos, respectivamente.O número de pessoas alcançadas pela campanha será dado pela expressão",A) 50X/4 + 50Y/9 B) 50X/9 + 50Y/4 C) 4X/50 + 4Y/50 D) 50/4X + 50/9Y E) 50/9X + 50/4Y,A,verde
161,2018,150,"Para ganhar um prêmio, uma pessoa deverá retirar, sucessivamente e sem reposição, duas bolas pretas de uma mesma urna.Inicialmente, as quantidades e cores das bolas são como descritas a seguir:- Urna A – Possui três bolas brancas, duas bolas pretas e uma bola verde;- Urna B – Possui seis bolas brancas, três bolas pretas e uma bola verde;- Urna C – Possui duas bolas pretas e duas bolas verdes;- Urna D – Possui três bolas brancas e três bolas pretas.A pessoa deve escolher uma entre as cinco opções apresentadas:- Opção 1 – Retirar, aleatoriamente, duas bolas da urna A;- Opção 2 – Retirar, aleatoriamente, duas bolas da urna B;- Opção 3 – Passar, aleatoriamente, uma bola da urna C para a urna A; após isso, retirar, aleatoriamente, duas bolas da urna A;- Opção 4 – Passar, aleatoriamente, uma bola da urna D para a urna C; após isso, retirar, aleatoriamente, duas bolas da urna C;- Opção 5 – Passar, aleatoriamente, uma bola da urna C para a urna D; após isso, retirar, aleatoriamente, duas bolas da urna D.Com o objetivo de obter a maior probabilidade possível de ganhar o prêmio, a pessoa deve escolher a opção",a) 1.b) 2.c) 3.d) 4.e) 5.,E,verde
162,2018,156,"Um rapaz estuda em uma escola que fica longe de sua casa, e por isso precisa utilizar o transporte público. Como é muito observador, todos os dias ele anota a hora exata (sem considerar os segundos) em que o ônibus passa pelo ponto de espera. Também notou que nunca consegue chegar ao ponto de ônibus antes de 6h15min da manhã. Analisando os dados coletados durante o mês de fevereiro, o qual teve 21 dias letivos, ele concluiu que 6h21min foi o que mais se repetiu, e que a mediana do conjunto de dados é 6h22min.A probabilidade de que, em algum dos dias letivos de fevereiro, esse rapaz tenha apanhado o ônibus antes de 6h21min da manhã é, no máximo,",A) 4/21 B) 5/21 C) 6/21 D) 7/21 E) 8/21,D,verde
163,2018,158,"Um produtor de milho utiliza uma área de 160 hectares para as suas atividades agrícolas. Essa área é dividida em duas partes: uma de 40 hectares, com maior produtividade, e outra, de 120 hectares, com menor produtividade.A produtividade é dada pela razão entre a produção, em tonelada, e a área cultivada. Sabe-se que a área de 40 hectares tem produtividade igual a 2,5 vezes à da outra. Esse fazendeiro pretende aumentar sua produção total em 15%, aumentando o tamanho da sua propriedade. Para tanto, pretende comprar uma parte de uma fazenda vizinha, que possui a mesma produtividade da parte de 120 hectares de suas terras.Qual é a área mínima, em hectare, que o produtor precisará comprar?",a) 36b) 33c) 27d) 24e) 21,B,verde
164,2018,161,"Para apagar os focos A e B de um incêndio, que estavam a uma distância de 30 m um do outro, os bombeiros de um quartel decidiram se posicionar de modo que a distância de um bombeiro ao foco A, de temperatura mais elevada, fosse sempre o dobro da distância desse bombeiro ao foco B, de temperatura menos elevada.Nestas condições, a maior distância, em metro, que dois bombeiros poderiam ter entre eles é",a) 30.b) 40.c) 45.d) 60.e) 68.,B,verde
165,2018,162,"Torneios de tênis, em geral, são disputados em sistema de eliminatória simples. Nesse sistema, são disputadas partidas entre dois competidores, com a eliminação do perdedor e promoção do vencedor para a fase seguinte. Dessa forma, se na 1ª fase o torneio conta com 2n competidores, então na 2ª fase restarão n competidores, e assim sucessivamente até a partida final.Em um torneio de tênis, disputado nesse sistema, participam 128 tenistas.Para se definir o campeão desse torneio, o número de partidas necessárias é dado por",A) 2 * 128 B) 64 + 32 + 16 + 8 + 4 + 2 C) 128 + 64 + 32 + 16 + 8 + 4 + 2 + 1 D) 128 + 64 + 32 + 16 + 8 + 4 + 2 E) 64 + 32 + 16 + 8 + 4 + 2 + 1,E,verde
166,2018,163,"O artigo 33 da lei brasileira sobre drogas prevê a pena de reclusão de 5 a 15 anos para qualquer pessoa que seja condenada por tráfico ilícito ou produção não autorizada de drogas. Entretanto, caso o condenado seja réu primário, com bons antecedentes criminais, essa pena pode sofrer uma redução de um sexto a dois terços.Suponha que um réu primário, com bons antecedentes criminais, foi condenado pelo artigo 33 da lei brasileira sobre drogas.Após o benefício da redução de pena, sua pena poderá variar de",a) 1 ano e 8 meses a 12 anos e 6 meses.b) 1 ano e 8 meses a 5 anos.c) 3 anos e 4 meses a 10 anos.d) 4 anos e 2 meses a 5 anos.e) 4 anos e 2 meses a 12 anos e 6 meses.,A,verde
167,2018,164,"Um edifício tem a numeração dos andares iniciando no térreo (T), e continuando com primeiro, segundo, terceiro, …, até o último andar. Uma criança entrou no elevador e, tocando no painel, seguiu uma sequência de andares, parando, abrindo e fechando a porta em diversos andares. A partir de onde entrou a criança, o elevador subiu sete andares, em seguida desceu dez, desceu mais treze, subiu nove, desceu quatro e parou no quinto andar, finalizando a sequência. Considere que, no trajeto seguido pela criança, o elevador parou uma vez no último andar do edifício.De acordo com as informações dadas, o último andar do edifício é o",a) 16ºb) 22ºc) 23ºd) 25ºe) 32º,C,verde
168,2018,165,"O Salão do Automóvel de São Paulo é um evento no qual vários fabricantes expõem seus modelos mais recentes de veículos, mostrando, principalmente, suas inovações emdesigne tecnologia.Disponível em: http://g1.globo.com. Acesso em: 4 fev. 2015 (adaptado).Uma montadora pretende participar desse evento com dois estandes, um na entrada e outro na região central do salão, expondo, em cada um deles, um carro compacto e uma caminhonete.Para compor os estandes, foram disponibilizados pela montadora quatro carros compactos, de modelos distintos, e seis caminhonetes de diferentes cores para serem escolhidos aqueles que serão expostos. A posição dos carros dentro de cada estande é irrelevante.Uma expressão que fornece a quantidade de maneiras diferentes que os estandes podem ser compostos é",A) A_10^4 B) C_10^4 C) C_4^2 * C_6^2 * 2 * 2 D) A_4^2 * A_6^2 * 2 * 2 E) C_4^2 * C_6^2,C,verde
169,2018,166,"Os alunos da disciplina de estatística, em um curso universitário, realizam quatro avaliações por semestre com os pesos de 20%, 10%, 30% e 40%, respectivamente. No final do semestre, precisam obter uma média nas quatro avaliações de, no mínimo, 60 pontos para serem aprovados. Um estudante dessa disciplina obteve os seguintes pontos nas três primeiras avaliações: 46, 60 e 50, respectivamente.O mínimo de pontos que esse estudante precisa obter na quarta avaliação para ser aprovado é","a) 29,8b) 71,0c) 74,5d) 75,5e) 84,0",C,verde
170,2018,167,"O gerente do setor de recursos humanos de uma empresa está organizando uma avaliação em que uma das etapas é um jogo de perguntas e respostas. Para essa etapa, ele classificou as perguntas, pelo nível de dificuldade, em fácil, médio e difícil, e escreveu cada pergunta em cartões para colocação em uma urna.Contudo, após depositar vinte perguntas de diferentes níveis na urna, ele observou que 25% deles eram de nível fácil. Querendo que as perguntas de nível fácil sejam a maioria, o gerente decidiu acrescentar mais perguntas de nível fácil à urna, de modo que a probabilidade de o primeiro participante retirar, aleatoriamente, uma pergunta de nível fácil seja de 75%.Com essas informações, a quantidade de perguntas de nível fácil que o gerente deve acrescentar à urna é igual a",a) 10.b) 15.c) 35.d) 40.e) 45.,D,verde
171,2018,174,"Com o avanço em ciência da computação, estamos próximos do momento em que o número de transistores no processador de um computador pessoal será da mesma ordem de grandeza que o número de neurônios em um cérebro humano, que é da ordem de $100$ bilhões.Uma das grandezas determinantes para o desempenho de um processador é a densidade de transistores, que é o número de transistores por centímetro quadrado.Em 1986, uma empresa fabricava um processador contendo $100.000$ transistores distribuídos em $0,25$ $cm^2$ de área. Desde então, o número de transistores por centímetro quadrado que se pode colocar em um processador dobra a cada dois anos (Lei de Moore).Disponível em: www.pocket-lint.com. Acesso em: 1 dez. 2017 (adaptado).Considere $0,30$ como aproximação para $log_{10}2$.Em que ano a empresa atingiu ou atingirá a densidade de $100$ bilhões de transistores?",a) 1999b) 2002c) 2022d) 2026e) 2146,C,verde
172,2018,175,"Uma loja vende automóveis em N parcelas iguais sem juros. No momento de contratar o financiamento, caso o cliente queira aumentar o prazo, acrescentando mais 5 parcelas, o valor de cada uma das parcelas diminui R$200,00 ou se ele quiser diminuir o prazo, com 4 parcelas a menos, o valor de cada uma das parcelas sobe R$232,00 Considere ainda que, nas três possibilidades de pagamento, o valor do automóvel é o mesmo, todas são sem juros e não é dado desconto em nenhuma das situações.Nessas condições, qual é a quantidade N de parcelas a serem pagas de acordo com a proposta inicial da loja?",a) 20b) 24c) 29d) 40e) 58,B,verde
173,2018,178,"Durante uma festa de colégio, um grupo de alunos organizou uma rifa. Oitenta alunos faltaram à festa e não participaram da rifa. Entre os que compareceram, alguns compraram três bilhetes, 45 compraram 2 bilhetes, e muitos compraram apenas um. O total de alunos que comprou um único bilhete era 20% do número total de bilhetes vendidos, e o total de bilhetes vendidos excedeu em 33 o número total de alunos do colégio.Quantos alunos compraram somente um bilhete?",a) 34b) 42c) 47d) 48e) 79,D,verde
174,2019,142,"Em um condomínio, uma área pavimentada, que tem a forma de um círculo com diâmetro medindo $6 \text{ m}$, é cercado por grama. A administração do condomínio deseja ampliar essa área, mantendo seu formato circular, e aumentando, em $8 \text{ m}$, o diâmetro dessa região, mantendo o revestimento da parte já existente. O condomínio dispõe, em estoque, de material suficiente para pavimentar mais $100 \text{ m}^2$ de área. O síndico do condomínio irá avaliar se esse material disponível será suficiente para pavimentar a região a ser ampliada.Utilize $3$ como aproximação para $\pi$.A conclusão correta a que o síndico deverá chegar, considerando a nova área a ser pavimentada, é a de que o material disponível em estoque","a) será suficiente, pois a área da nova região a ser pavimentada mede $21 \text{ m}^2$.b) será suficiente, pois a área da nova região a ser pavimentada mede $24 \text{ m}^2$.c) será suficiente, pois a área da nova região a ser pavimentada mede $48 \text{ m}^2$.d) não será suficiente, pois a área da nova região a ser pavimentada mede $108 \text{ m}^2$.e) não será suficiente, pois a área da nova região a ser pavimentada mede $120 \text{ m}^2$.",E,verde
175,2019,144,"Um professor aplica, durante os cinco dias úteis de uma semana, testes com quatro questões de múltipla escolha a cinco alunos. Os resultados foram representados na matriz.$$M = \begin{bmatrix} 3 & 2 & 0 & 1 & 2 \\ 3 & 2 & 4 & 1 & 2 \\ 2 & 2 & 2 & 3 & 2 \\ 3 & 2 & 4 & 1 & 0 \\ 0 & 2 & 0 & 4 & 4 \end{bmatrix}$$Nessa matriz os elementos das linhas de $1$ a $5$ representam as quantidades de questões acertadas pelos alunos Ana, Bruno, Carlos, Denis e Érica, respectivamente, enquanto que as colunas de $1$ a $5$ indicam os dias da semana, de segunda-feira a sexta-feira, respectivamente, em que os testes foram aplicados.O teste que apresentou maior quantidade de acertos foi o aplicado na",a) segunda-feira.b) terça-feira.c) quarta-feira.d) quinta-feira.e) sexta-feira.,A,verde
176,2019,148,"O rótulo da embalagem de um cosmético informa que a dissolução de seu conteúdo, de acordo com suas especificações, rende $2,7$ litros desse produto pronto para o uso. Uma pessoa será submetida a um tratamento estético em que deverá tomar um banho de imersão com esse produto numa banheira com capacidade de $0,3 \text{ m}^3$. Para evitar o transbordamento, essa banheira será preenchida em $80\%$ de sua capacidade.Para esse banho, o número mínimo de embalagens desse cosmético é",a) 9.b) 12.c) 89.d) 112.e) 134.,C,verde
177,2019,138,"Uma pessoa, que perdeu um objeto pessoal quando visitou uma cidade, pretende divulgar nos meios de comunicação informações a respeito da perda desse objeto e de seu contato para eventual devolução. No entanto, ela lembra que, de acordo com o Art. 1.234 do Código Civil, poderá ter que pagar pelas despesas do transporte desse objeto até sua cidade e poderá ter que recompensar a pessoa que lhe restituir o objeto em, pelo menos, 5% do valor do objeto.Ela sabe que o custo com transporte será de um quinto do valor atual do objeto e, como ela tem muito interesse em reavê-lo, pretende ofertar o maior percentual possível de recompensa, desde que o gasto total com as despesas não ultrapasse o valor atual do objeto.Nessas condições, o percentual sobre o valor do objeto, dado como recompensa, que ela deverá ofertar é igual a",a) 20%b) 25%c) 40%d) 60%e) 80%,E,verde
178,2019,140,"A gripe é uma infecção respiratória aguda de curta duração causada pelo vírus influenza. Ao entrar no nosso organismo pelo nariz, esse vírus multiplica-se, disseminando-se para a garganta e demais partes das vias respiratórias, incluindo os pulmões.O vírus influenza é uma partícula esférica que tem um diâmetro interno de 0,00011 mm.Disponível em: www.gripenet.pt. Acesso em: 2 nov. 2013 (adaptado).Em notação científica, o diâmetro interno do vírus influenza, em mm, é","A) 1,1 x 10^-1 B) 1,1 x 10^-2 C) 1,1 x 10^-3 D) 1,1 x 10^-4 E) 1,1 x 10^-5",D,verde
179,2019,142,"Em um condomínio, uma área pavimentada, que tem a forma de um círculo com diâmetro medindo 6 m, é cercado por grama. A administração do condomínio deseja ampliar essa área, mantendo seu formato circular, e aumentando, em 8 m, o diâmetro dessa região, mantendo o revestimento da parte já existente. O condomínio dispõe, em estoque, de material suficiente para pavimentar mais 100 m2de área. O síndico do condomínio irá avaliar se esse material disponível será suficiente para pavimentar a região a ser ampliada.Utilize 3 como aproximação para π.A conclusão correta a que o síndico deverá chegar, considerando a nova área a ser pavimentada, é a de que o material disponível em estoque","a) será suficiente, pois a área da nova região a ser pavimentada mede 21 m2.b) será suficiente, pois a área da nova região a ser pavimentada mede 24 m2.c) será suficiente, pois a área da nova região a ser pavimentada mede 48 m2.d) não será suficiente, pois a área da nova região a ser pavimentada mede 108 m2.e) não será suficiente, pois a área da nova região a ser pavimentada mede 120 m2.",E,verde
180,2019,144,"Um professor aplica, durante os cinco dias úteis de uma semana, testes com quatro questões de múltipla escolha a cinco alunos. Os resultados foram representados na matriz.$$M = \begin{bmatrix} 3 & 2 & 0 & 1 & 2 \\ 3 & 2 & 4 & 1 & 2 \\ 2 & 2 & 2 & 3 & 2 \\ 3 & 2 & 4 & 1 & 0 \\ 0 & 2 & 0 & 4 & 4 \end{bmatrix}$$Nessa matriz os elementos das linhas de 1 a 5 representam as quantidades de questões acertadas pelos alunos Ana, Bruno, Carlos, Denis e Érica, respectivamente, enquanto que as colunas de 1 a 5 indicam os dias da semana, de segunda-feira a sexta-feira, respectivamente, em que os testes foram aplicados.O teste que apresentou maior quantidade de acertos foi o aplicado na",a) segunda-feira.b) terça-feira.c) quarta-feira.d) quinta-feira.e) sexta-feira.,A,verde
181,2019,148,"O rótulo da embalagem de um cosmético informa que a dissolução de seu conteúdo, de acordo com suas especificações, rende2,7litros desse produto pronto para o uso. Uma pessoa será submetida a um tratamento estético em que deverá tomar um banho de imersão com esse produto numa banheira com capacidade de0,3m³.Para evitar o transbordamento, essa banheira será preenchida em80%de sua capacidade.Para esse banho, o número mínimo de embalagens desse cosmético é",a) 9.b) 12.c) 89.d) 112.e) 134.,C,verde
182,2019,150,"Uma pessoa se interessou em adquirir um produto anunciado em uma loja. Negociou com o gerente e conseguiu comprá-lo a uma taxa de juros compostos de 1% ao mês. O primeiro pagamento será um mês após a aquisição do produto, e no valor de R$ 202,00. O segundo pagamento será efetuado um mês após o primeiro, e terá o valor de R$ 204,02. Para concretizar a compra, o gerente emitirá uma nota fiscal com o valor do produto à vista negociado com o cliente, correspondendo ao financiamento aprovado.O valor à vista, em real, que deverá constar na nota fiscal é de","a) 398,02.b) 400,00.c) 401,94.d) 404,00.e) 406,02.",B,verde
183,2019,151,"Três sócios resolveram fundar uma fábrica. O investimento inicial foi de R$ 1.000.000,00. E, independentemente do valor que cada um investiu nesse primeiro momento, resolveram considerar que cada um deles contribuiu com um terço do investimento inicial.Algum tempo depois, um quarto sócio entrou para a sociedade, e os quatro, juntos, investiram mais R$ 800.000,00 na fábrica. Cada um deles contribuiu com um quarto desse valor. Quando venderam a fábrica, nenhum outro investimento havia sido feito. Os sócios decidiram então dividir o montante de R$ 1.800.000,00 obtido com a venda, de modo proporcional à quantia total investida por cada sócio.Quais os valores mais próximos, em porcentagens, correspondentes às parcelas financeiras que cada um dos três sócios iniciais e o quarto sócio, respectivamente, receberam?","a) 29,60 e 11,11b) 28,70 e 13,89c) 25,00 e 25,00d) 18,52 e 11,11e) 12,96 e 13,89.",A,verde
184,2019,152,"Para contratar três máquinas que farão o reparo de vias rurais de um município, a prefeitura elaborou um edital que, entre outras cláusulas, previa:- Cada empresa interessada só pode cadastrar uma única máquina para concorrer ao edital;- O total de recursos destinados para contratar o conjunto das três máquinas é de R$ 31.000,00;- O valor a ser pago a cada empresa será inversamente proporcional à idade de uso da máquina cadastrada pela empresa para o presente edital.As três empresas vencedoras do edital cadastraram máquinas com 2, 3 e 5 anos de idade de uso.Quanto receberá a empresa que cadastrou a máquina com maior idade de uso?","a) R$ 3.100,00b) R$ 6.000,00c) R$ 6.200,00d) R$ 15.000,00e) R$ 15.500,00",B,verde
185,2019,153,"Segundo o Instituto Brasileiro de Geografia e Estatística (IBGE), o rendimento médio mensal dos trabalhadores brasileiros, no ano 2000, era de R$ 1.250,00. Já o Censo 2010 mostrou que, em 2010, esse valor teve um aumento de 7,2% em relação a 2000. Esse mesmo instituto projeta que, em 2020, o rendimento médio mensal dos trabalhadores brasileiros poderá ser 10% maior do que foi em 2010.IBGE.Censo 2010. Disponível em: www.ibge.gov.br.Acesso em: 13 ago. 2012 (adaptado).Supondo que as projeções do IBGE se realizem, o rendimento médio mensal dos brasileiros em 2020 será de:","a) R$ 1.340,00b) R$ 1.349,00c) R$ 1.375,00d) R$ 1.465,00e) R$ 1.474,00",E,verde
186,2019,155,"Após o Fórum Nacional Contra a Pirataria (FNCP) incluir a linha de autopeças em campanha veiculada contra a falsificação, as agências fiscalizadoras divulgaram que os cinco principais produtos de autopeças falsificados são: rolamento, pastilha de freio, caixa de direção, catalisador e amortecedor.Disponível em: www.oficinabrasil.com.br.Acesso em: 25 ago. 2014 (adaptado).Após uma grande apreensão, as peças falsas foram cadastradas utilizando-se a codificação:1: rolamento, 2: pastilha de freio, 3: caixa de direção, 4: catalisador e 5: amortecedor.Ao final obteve-se a sequência:5,4,3,2, 1, 2, 3, 4, 5, 4, 3, 2, 1, 2, 3, 4, 5, 4, 3, 2, 1, 2, 3, 4, … que apresenta um padrão de formação que consiste na repetição de um bloco de números. Essa sequência descreve a ordem em que os produtos apreendidos foram cadastrados.O 2015º item cadastrado foi um(a)",a) rolamento.b) catalisador.c) amortecedor.d) pastilha de freioe) caixa de direção.,E,verde
187,2019,156,"Durante suas férias, oito amigos, dos quais dois são canhotos, decidem realizar um torneio de vôlei de praia. Eles precisam formar quatro duplas para a realização do torneio. Nenhuma dupla pode ser formada por dois jogadores canhotos.De quantas maneiras diferentes podem ser formadas essas quatro duplas?",a) 69b) 70c) 90d) 104e) 105,C,verde
188,2019,158,"Comum em lançamentos de empreendimentos imobiliários, as maquetes de condomínios funcionam como uma ótima ferramenta de marketing para as construtoras, pois, além de encantar clientes, auxiliam de maneira significativa os corretores na negociação e venda de imóveis.Um condomínio está sendo lançado em um novo bairro de uma cidade. Na maquete projetada pela construtora, em escala de $1:200$, existe um reservatório de água com capacidade de $45cm^3$.Quando todas as famílias estiverem residindo no condomínio, a estimativa é que, por dia, sejam consumidos 30.000 litros de água.Em uma eventual falta de água, o reservatório cheio será suficiente para abastecer o condomínio por quantos dias?",a) 30b) 15c) 12d) 6e) 3,C,verde
189,2019,159,"O dono de um restaurante situado às margens de uma rodovia percebeu que, ao colocar uma placa de propaganda de seu restaurante ao longo da rodovia, as vendas aumentaram. Pesquisou junto aos seus clientes e concluiu que a probabilidade de um motorista perceber uma placa de anúncio é $\frac{1}{2}$. Com isso, após autorização do órgão competente, decidiu instalar novas placas com anúncios de seu restaurante ao longo dessa rodovia, de maneira que a probabilidade de um motorista perceber pelo menos uma das placas instaladas fosse superior a $\frac{99}{100}$.A quantidade mínima de novas placas de propaganda a serem instaladas é",a) 99.b) 51.c) 50.d) 6.e) 1.,D,verde
190,2019,160,"O preparador físico de um time de basquete dispõe de um plantel de 20 jogadores, com média de altura igual a 1,80 m. No último treino antes da estreia em um campeonato, um dos jogadores desfalcou o time em razão de uma séria contusão, forçando o técnico a contratar outro jogador para recompor o grupo.Se o novo jogador é 0,20 m mais baixo que o anterior, qual é a média de altura, em metro, do novo grupo?","a) 1,60b) 1,78c) 1,79d) 1,81e) 1,82",C,verde
191,2019,163,"O Índice de Desenvolvimento Humano (IDH) é uma medida usada para classificar os países pelo seu grau de desenvolvimento. Para seu cálculo, são levados em consideração a expectativa de vida ao nascer, tempo de escolaridade e renda per capita, entre outros. O menor valor deste índice é zero e o maior é um. Cinco países foram avaliados e obtiveram os seguintes índices de desenvolvimento humano: o primeiro país recebeu um valor $X$, o segundo $\sqrt{X}$, o terceiro $X^{\frac{1}{3}}$, o quarto $X^{2}$ e o último $X^{3}$. Nenhum desses países zerou ou atingiu o índice máximo.Qual desses países obteve o maior IDH?",a) O primeiro.b) O segundo.c) O terceiro.d) O quarto.e) O quinto.,C,verde
192,2019,165,"O álcool é um depressor do sistema nervoso central e age diretamente em diversos órgãos. A concentração de álcool no sangue pode ser entendida como a razão entre a quantidade q de álcool ingerido, medida em grama, e o volume de sangue, em litro, presente no organismo do indivíduo. Em geral, considera-se que esse volume corresponda ao valor numérico dado por 8% da massa corporal m desse indivíduo, medida em quilograma.De acordo com a Associação Médica Americana, uma concentração alcoólica superior a 0,4 grama por litro de sangue é capaz de trazer prejuízos à saúde do indivíduo.Disponível em: http://cisa.org.br. Acesso em: 1 dez. 2018 (adaptado).A expressão relacionando q e m que representa a concentração alcoólica prejudicial à saúde do indivíduo, de acordo com a Associação Médica Americana, é","A) q / 0,8m > 0,4 B) 0,4m / q > 0,8 C) q / 0,4m > 0,8 D) 0,08m / q > 0,4 E) q / 0,08m > 0,4",E,verde
193,2019,168,"Uma empresa tem diversos funcionários. Um deles é o gerente, que recebe R$ 1.000,00 por semana. Os outros funcionários são diaristas. Cada um trabalha 2 dias por semana, recebendo R$ 80,00 por dia trabalhado.Chamando de X a quantidade total de funcionários da empresa, a quantia Y, em reais, que esta empresa gasta semanalmente para pagar seus funcionários é expressa por",a) Y=80X+920b) Y=80X+1.000c) Y=80X+1.080d) Y=160X+840e) Y=160X+1.000,D,verde
194,2019,170,"A bula de um antibiótico infantil, fabricado na forma de xarope, recomenda que sejam ministrados, diariamente, no máximo 500 mg desse medicamento para cada quilograma de massa do paciente. Um pediatra prescreveu a dosagem máxima desse antibiótico para ser ministrada diariamente a uma criança de 20 kg pelo período de 5 dias. Esse medicamento pode ser comprado em frascos de 10 mL, 50 mL, 100 mL, 250 mL e 500 mL. Os pais dessa criança decidiram comprar a quantidade exata de medicamento que precisará ser ministrada no tratamento, evitando a sobra de medicamento. Considere que 1 g desse medicamento ocupe um volume de $1 cm^3$.A capacidade do frasco, em mililitro, que esses pais deverão comprar é",a) 10.b) 50.c) 100.d) 250.e) 500.,B,verde
195,2019,173,"Em um determinado ano, os computadores da receita federal de um país identificaram como inconsistentes 20% das declarações de imposto de renda que lhe foram encaminhadas. Uma declaração é classificada como inconsistente quando apresenta algum tipo de erro ou conflito nas informações prestadas. Essas declarações consideradas inconsistentes foram analisadas pelos auditores, que constataram que 25% delas eram fraudulentas. Constatou-se ainda que, dentre as declarações que não apresentaram inconsistências, 6,25% eram fraudulentas.Qual é a probabilidade de, nesse ano, a declaração de um contribuinte ser considerada inconsistente, dado que ela era fraudulenta?","a) 0,0500b) 0,1000c) 0,1125d) 0,3125e) 0,5000",E,verde
